sigma_theta,sigma_c,sigma_t,stress_ratio,brittleness_index,Wet,depth,rockburst_grade,rock_quality_index,seismic_energy,fracture_volume,total_seismic_energy,seismic_pulses
75.03,128.6,13.0,0.58,9.89,5.76,762.0,2.0,,,,,
80.04,171.3,22.6,0.47,7.58,7.27,843.0,3.0,,,,,
50.28,77.3,7.65,0.65,10.1,2.47,660.0,1.0,,,,,
50.28,59.0,5.23,0.85,11.28,0.88,660.0,0.0,,,,,
44.8,77.3,7.65,0.58,10.1,2.47,630.0,1.0,,,,,
44.8,94.7,5.26,0.47,18.0,2.96,630.0,2.0,,,,,
48.0,94.7,5.26,0.51,18.0,2.96,630.0,2.0,,,,,
48.0,59.0,5.23,0.81,11.28,0.88,630.0,0.0,,,,,
54.9,59.0,5.23,0.93,11.28,0.88,630.0,0.0,,,,,
34.15,54.2,12.1,0.63,4.48,3.17,920.0,1.0,,,,,
60.0,135.0,15.04,0.44,8.98,4.86,1000.0,1.0,,,,,
60.0,66.49,9.72,0.9,6.84,2.15,1000.0,1.0,,,,,
60.0,106.38,11.2,0.56,9.5,6.11,1000.0,1.0,,,,,
60.0,86.03,7.14,0.7,12.05,2.85,1000.0,1.0,,,,,
60.0,149.19,9.3,0.4,16.4,3.5,1000.0,1.0,,,,,
60.0,136.79,10.42,0.44,13.13,2.12,1000.0,1.0,,,,,
63.8,110.0,4.5,0.58,24.4,6.31,750.0,2.0,,,,,
2.6,20.0,3.0,0.13,6.67,1.39,750.0,0.0,,,,,
44.4,120.0,5.0,0.37,24.0,5.1,750.0,1.0,,,,,
13.5,30.0,2.67,0.45,11.2,2.03,750.0,1.0,,,,,
70.4,110.0,4.5,0.64,24.4,6.31,700.0,2.0,,,,,
3.8,20.0,3.0,0.19,6.67,1.39,700.0,0.0,,,,,
57.6,120.0,5.0,0.48,24.0,5.1,700.0,2.0,,,,,
19.5,30.0,2.67,0.65,11.2,2.03,700.0,2.0,,,,,
81.4,110.0,4.5,0.74,24.4,6.31,600.0,3.0,,,,,
4.6,20.0,3.0,0.23,6.67,1.39,600.0,0.0,,,,,
73.2,120.0,5.0,0.61,24.0,5.1,600.0,2.0,,,,,
30.0,30.0,2.67,1.0,11.2,2.03,600.0,3.0,,,,,
47.5,86.3,15.6,0.55,5.53,6.3,720.0,2.0,,,,,
47.5,61.1,5.3,0.78,11.53,7.2,720.0,2.0,,,,,
67.2,86.3,15.6,0.78,11.53,7.2,780.0,2.0,,,,,
67.2,61.1,5.3,1.1,11.53,7.2,780.0,2.0,,,,,
67.2,99.2,7.3,0.68,13.59,8.31,780.0,2.0,,,,,
77.0,86.3,15.6,0.89,5.53,6.3,840.0,3.0,,,,,
77.0,61.1,5.3,1.26,11.53,7.2,840.0,3.0,,,,,
77.0,99.2,7.3,0.78,13.59,8.31,840.0,3.0,,,,,
225.5,61.1,5.3,3.69,11.53,7.2,900.0,3.0,,,,,
225.5,91.3,14.5,2.47,6.3,21.0,900.0,3.0,,,,,
274.3,61.1,5.3,4.49,11.53,7.2,960.0,3.0,,,,,
274.3,91.3,14.5,3.0,6.3,21.0,960.0,3.0,,,,,
12.0,85.0,3.6,0.14,23.61,1.5,463.0,0.0,,,,,
21.0,103.0,4.1,0.2,25.12,2.4,731.0,1.0,,,,,
28.0,100.0,3.9,0.28,25.64,2.3,1456.0,1.0,,,,,
47.0,122.0,5.5,0.39,22.18,3.4,1735.0,1.0,,,,,
52.0,117.0,4.8,0.44,24.38,3.2,2372.0,1.0,,,,,
42.0,117.0,4.8,0.36,24.38,3.2,1765.0,1.0,,,,,
32.0,117.0,4.8,0.27,24.38,3.2,1878.0,1.0,,,,,
20.0,112.0,4.7,0.18,23.83,2.5,630.0,0.0,,,,,
91.23,157.63,11.96,0.58,13.18,6.27,203.0,3.0,,,,,
66.77,148.48,8.47,0.45,17.53,5.08,827.0,1.0,,,,,
51.5,132.05,6.33,0.39,20.86,4.63,896.0,2.0,,,,,
35.82,127.93,4.43,0.28,28.9,3.67,1117.0,1.0,,,,,
21.5,107.52,2.98,0.2,36.04,2.29,1124.0,0.0,,,,,
18.32,96.41,2.01,0.19,47.93,1.87,1140.0,0.0,,,,,
110.3,167.19,12.67,0.66,13.2,6.83,983.0,3.0,,,,,
26.06,118.46,3.51,0.22,33.75,2.98,853.0,1.0,,,,,
16.62,156.86,10.66,0.11,14.71,4.83,644.0,2.0,,,,,
16.47,156.9,10.33,0.1,15.19,4.39,692.0,2.0,,,,,
16.43,157.95,11.06,0.1,14.28,4.99,970.0,3.0,,,,,
16.3,155.28,10.63,0.1,14.61,4.4,850.0,2.0,,,,,
15.97,114.07,11.96,0.14,9.54,2.4,174.0,0.0,,,,,
19.14,106.31,11.96,0.18,8.89,2.07,275.0,0.0,,,,,
12.96,117.81,11.96,0.11,9.85,3.0,187.0,0.0,,,,,
31.05,147.85,11.96,0.21,12.36,3.0,267.0,2.0,,,,,
29.09,138.5,11.96,0.21,11.58,2.77,215.0,0.0,,,,,
32.4,140.88,11.96,0.23,11.78,2.86,272.0,1.0,,,,,
